Eintragsnummer;Tree;BLEU;BCR;FCR;Gapping;SGF;LCO;NoCCE;"Phenomena simplified (b/f/g/s/k=not-bfgs-coord);""-"" kein Phänomen, gegebenenfalls Satzkoordination(en)";Phenomena Bemerkung;Treebank-Sentence;Reconstructed-Sentence;Gold_1;Gold_2;Gold_3
44;(s103850_VROOT(CSIMPX(CKOU(KOUS Weil))(MF-3s(NX-ON(NX-KONJ-ns*(PIS-ns* man))($D /)(NX-KONJ-nsf(PIS-nsf frau)))(ADVX(PTKNEG nicht))(PX(APPR-d mit)(NX-HD-dpn(ART-dpn den)(NN-dpn Hinterrädern))))(VC-VMFIN-3sis(VVINF-OV(VVINF lenken))(VMFIN-HD-3sis(VMFIN-3sis kann))))($. .));1;0;0;0;0;1;0;k;NP Koord SB;Weil man / frau nicht mit den Hinterrädern lenken kann .;Weil man / frau nicht mit den Hinterrädern lenken kann .;Weil man / frau nicht mit den Hinterrädern lenken kann .;;
45;(s99387_VROOT(SIMPX(VF-3p(NX-ON-np*(NN-np* Trauernde)))(LK-VVFIN-3pit(VVFIN-HD-3pit(VVFIN-3pit legten)))(MF(NX-OA(NX-KONJ-asn(ART-asn ein)(NN-asn Holzkreuz))(KON und)(NX-KONJ-apf(NN-apf Blumen)))(PX(APPRART-dsm am)(NX-HD-dsm(NN-dsm Unfallort))))(VC(PTKVZ nieder)))($. .));1;0;0;0;0;1;0;k;NP Koord OA;Trauernde legten ein Holzkreuz und Blumen am Unfallort nieder .;Trauernde legten ein Holzkreuz und Blumen am Unfallort nieder .;Trauernde legten ein Holzkreuz und Blumen am Unfallort nieder .;;
46;(s104233_VROOT(SIMPX(SIMPX-KONJ(LK-VVFIN-3pis(VVFIN-HD-3pis(VVFIN-3pis Kommen)))(MF-3p(NX-ON-np*3(PPER-np*3 Sie))))($, ,)(SIMPX-KONJ(VF-1p(NX-ON-np*1(PPER-np*1 wir)))(LK-VVFIN-1pis(VVFIN-HD-1pis(VVFIN-1pis suchen)))(MF(NX-OA-asf(PDAT-asf diese)(NN-asf VIP-Lounge)))))($. .));1;0;0;0;0;0;1;-;Satz Koord;Kommen Sie , wir suchen diese VIP-Lounge .;Kommen Sie , wir suchen diese VIP-Lounge .;Kommen Sie , wir suchen diese VIP-Lounge .;;
47;(s102334_VROOT(SIMPX(VF(NX-OD(NX-HD-dsf3(PPER-dsf3 Ihr))(ADVX(ADV selbst))))(LK-VAFIN-3pit(VAFIN-HD-3pit(VAFIN-3pit hatten)))(MF-3p(NX-ON-np*3(PPER-np*3 sie))(NX-OA(NX-KONJ-asn(NN-asn Abitur))(KON und)(NX-KONJ-asn(NN-asn Studium))))(VC-VVPP(VVPP-OV(VVPP vermasselt))))($. .));1;0;0;0;0;1;0;k;NP Koord OA;Ihr selbst hatten sie Abitur und Studium vermasselt .;Ihr selbst hatten sie Abitur und Studium vermasselt .;Ihr selbst hatten sie Abitur und Studium vermasselt .;;
48;(s100085_VROOT(SIMPX(SIMPX-KONJ(VF-3s(NX-ON-nsf(ART-nsf Die)(NN-nsf Tür)))(LK-VAFIN-3sis(VAFIN-HD-3sis(VAFIN-3sis ist)))(MF(ADVX(ADV zu))))($D -)(KON und)(SIMPX-KONJ(VF-3s(NX-ON-nsn(NN-nsn Bild)))(LK-VVFIN-3sis(VVFIN-HD-3sis(VVFIN-3sis steht)))(MF(ADVX(ADV draußen)))))($. .));1;0;0;0;0;0;1;-;Satz Koord;Die Tür ist zu - und Bild steht draußen .;Die Tür ist zu - und Bild steht draußen .;Die Tür ist zu - und Bild steht draußen .;;
49;(s100621_VROOT(SIMPX(VF-3s(NX-ON-nsf(ART-nsf Die)(ADJX-nsf(ADJA-nsf zeitliche))(NN-nsf Abfolge)))(LK-VAFIN-3sit(VAFIN-HD-3sit(VAFIN-3sit war)))(MFFKOORD(MFFKONJ-KONJ(MF(ADVX(PTKNEG nicht)))(VC-VVPP(VVPP-OV(VVPP geplant))))($, ,)(KON doch)(MF-KONJ(ADJX(ADJD passend)))))($. .));1;0;1;1;0;0;0;fg;fg;Die zeitliche Abfolge war nicht geplant , doch passend .;Die zeitliche Abfolge war nicht geplant , doch die_f zeitliche_f Abfolge_f war_f passend .;Die zeitliche Abfolge war nicht geplant , doch die_fg zeitliche_fg Abfolge_fg war_fg passend .;;
50;(s103965_VROOT(SIMPX(VF-3s(NX-ON(NX-APP-nsm(ART-nsm Der)(NN-nsm Name))(NX-APP-nsf(ADJX-nsf(ADJA-nsf Soziale))(NN-nsf Marktwirtschaft))))(LK-VAFIN-3sis(VAFIN-HD-3sis(VAFIN-3sis ist)))(MF(NX-PRED(NX-KONJ-nsn(NN-nsn Programm))(KON und)(NX-KONJ-nsf(NN-nsf Verpflichtung)))))($. .));1;0;0;0;0;1;0;k;NP Koord Pred;Der Name Soziale Marktwirtschaft ist Programm und Verpflichtung .;Der Name Soziale Marktwirtschaft ist Programm und Verpflichtung .;Der Name Soziale Marktwirtschaft ist Programm und Verpflichtung .;;
51;(s99189_VROOT(SIMPX(VF-3p(NX-ON-np*(ART-np* Die)(ADJX-np*(ADJA-np* neuen))(NN-np* Reichen)))(LK-VVFIN-3pis(VVFIN-HD-3pis(VVFIN-3pis spendieren)))(MF(NX-OA(NX-KONJ-asn(NN-asn Gold))(KON und)(NX-KONJ-asn(NN-asn Geld)))(PX(APPRART-dsf zur)(NX-HD-dsf(NN-dsf Renovierung)))))($. .));1;0;0;0;0;1;0;k;NP Koord OA;Die neuen Reichen spendieren Gold und Geld zur Renovierung .;Die neuen Reichen spendieren Gold und Geld zur Renovierung .;Die neuen Reichen spendieren Gold und Geld zur Renovierung .;;
52;(s100037_VROOT(SIMPX(VF-3s(NX-ON-nsm(NE-nsm Mehmet)(NE-nsm Scholl)))(LK-VAFIN-3sit(VAFIN-HD-3sit(VAFIN-3sit war)))(MFFKOORD(MF-KONJ(NX-VMOD(CARD 1994))(NX-PRED(NX-APP-nsf(ART-nsf die)(NN-nsf Nr.))(NX-APP(CARD 23))))(KON und)(MF-KONJ(ADVX(ADV diesmal))(ADVX(ADV wieder)))))($. .));0,471364221970258;0;0;1;0;0;0;g;f – exceptional;Mehmet Scholl war 1994 die Nr. 23 und diesmal wieder .;Mehmet Scholl war 1994 die Nr. 23 und diesmal wieder .;Mehmet Scholl war 1994 die Nr. 23 und Mehmet_fg Scholl_gf war_fg die_fg Nr._fg 23_fg diesmal wieder .;Mehmet Scholl war 1994 die Nr. 23 und Mehmet_g  Scholl_g  war_g diesmal wieder die_g  Nr._g  23_g   .;
53;(s103184_VROOT(SIMPX(SIMPX-KONJ(VF-3p(NX-ON-npm(ART-npm Die)(NN-npm Männer)))(LK-VAFIN-3pit(VAFIN-HD-3pit(VAFIN-3pit waren)))(MF(PX(APPR-d an)(NX-HD-dsf(ART-dsf der)(NN-dsf Front)))))($, ,)(SIMPX-KONJ(VF-3p(NX-ON-npf(ART-npf die)(NN-npf Frauen)))(MF(ADVX(PTKNEG nicht)))))($. .));1;0;0;1;0;0;0;g;g;Die Männer waren an der Front , die Frauen nicht .;Die Männer waren an der Front , die Frauen waren_g nicht an_g der_g Front_g .;Die Männer waren an der Front , die Frauen waren_g nicht an_g der_g Front_g .;;
54;(s100280_VROOT(SIMPX(SIMPX-KONJ(VF-3s(NX-ON-nsm(NE-nsm Senegal)))(LK-VAFIN-3sis(VAFIN-HD-3sis(VAFIN-3sis hat)))(MF(NX-OA-apm(ADJX(CARD 250))(NN-apm Soldaten)))(VC-VVPP(VVPP-OV(VVPP geschickt))))($, ,)(SIMPX-KONJ(VF-3s(NX-ON-nsn(NE-nsn Guinea)))(MF(NX-OA(ADJX(CARD 400))))))($. .));1;0;0;1;0;0;0;g;LDG exceptional - Soldaten;Senegal hat 250 Soldaten geschickt , Guinea 400 .;Senegal hat 250 Soldaten geschickt , Guinea hat_g 400 Soldaten_g geschickt_g .;Senegal hat 250 Soldaten geschickt , Guinea hat_g 400 Soldaten_g geschickt_g .;;
55;(s101935_VROOT(SIMPX(VF-3s(NX-ON-nsn(PDS-nsn Das)))(LK-VAFIN-3sis(VAFIN-HD-3sis(VAFIN-3sis ist)))(MFFKOORD(MF-KONJ(ADVX(ADV zwar))(ADVX(PTKNEG nicht))(ADJX(ADJD witzig)))($, ,)(KON aber)(MF-KONJ(ADVX(ADV wenigstens))(ADVX(ADV endlich))(ADVX(ADV mal))(ADJX(ADJD richtig)))))($. .));1;0;1;1;0;0;0;fg;fg;Das ist zwar nicht witzig , aber wenigstens endlich mal richtig .;Das ist zwar nicht witzig , aber das_f ist_f wenigstens endlich mal richtig .;Das ist zwar nicht witzig , aber das_fg ist_fg wenigstens endlich mal richtig .;;
56;(s103801_VROOT(SIMPX(VF(NX-OA-asn(PIS-asn Alles)))(LK-VMFIN-3sis(VMFIN-HD-3sis(VMFIN-3sis muß)))(MFFKOORD(MFFKONJ-KONJ(MF-3s(NX-ON-ns*(PIS-ns* man)))(VC-VVINF(VVINF-OV(VVINF übertreiben))))(KON und)(MFFKONJ-KONJ(MF(ADVX(ADV tausendmal)))(VC-VVINF(VVINF-OV(VVINF sagen))))))($. .));1;0;1;1;0;0;0;fg;fg;Alles muß man übertreiben und tausendmal sagen .;Alles muß man übertreiben und alles_f muß_f man_f tausendmal sagen .;Alles muß man übertreiben und alles_fg muß_fg man_fg tausendmal sagen .;;
57;(s100788_VROOT(SIMPX(VF(ADVX(ADV Inzwischen)))(LK-VAFIN-3pis(VAFIN-HD-3pis(VAFIN-3pis sind)))(MFFKOORD(MF-KONJ-3p(NX-ON-npm(ART-npm die)(NN-npm Gremlins))(ADJX(ADJD ausgewachsen)))(KON und)(MF-KONJ(ADVX(ADVX(ADVX(ADV gar))(PTKNEG nicht))(ADVX(ADV mehr)))(ADJX(ADJD lieb)))))($. .));1;0;1;1;0;0;0;fg;fg, MF Koord;Inzwischen sind die Gremlins ausgewachsen und gar nicht mehr lieb .;Inzwischen sind die Gremlins ausgewachsen und inzwischen_f sind_f die_f Gremlins_f gar nicht mehr lieb .;Inzwischen sind die Gremlins ausgewachsen und inzwischen_fg sind_fg die_fg Gremlins_fg gar nicht mehr lieb .;;
58;(s101488_VROOT(SIMPX(VF-3s(NX-ON-nsf3(PPER-nsf3 Sie)))(LKFKOORD(LKFKONJ-KONJ(LK-VVFIN-3sit(VVFIN-HD-3sit(VVFIN-3sit bückte)))(MF(NX-OA-as*3(PRF-as*3 sich))))(KON und)(LKFKONJ-KONJ(LK-VVFIN-3sit(VVFIN-HD-3sit(VVFIN-3sit hob)))(MF(NX-OA-asf3(PPER-asf3 sie)))(VC(PTKVZ auf)))))($. .));1;0;1;0;0;0;0;f;f;Sie bückte sich und hob sie auf .;Sie bückte sich und sie_f hob sie auf .;Sie bückte sich und sie_f hob sie auf .;;
59;(s102123_VROOT(SIMPX(VF(ADVX(ADV Heute)))(LK-VAFIN-3pis(VAFIN-HD-3pis(VAFIN-3pis sind)))(MF-3p(NX-ON-np*3(PPER-np*3 Sie))(NX-PRED(NX-HD-nsf(NN-nsf Professorin))(PX(APPR-a für)(NX-HD(NX-KONJ-asf(NN-asf Wissenschaftsgeschichte))(KON und)(NX-KONJ-asf(NN-asf -philosophie)))))))($. .));1;0;0;0;0;1;0;k;NP Koord PP;Heute sind Sie Professorin für Wissenschaftsgeschichte und -philosophie .;Heute sind Sie Professorin für Wissenschaftsgeschichte und -philosophie .;Heute sind Sie Professorin für Wissenschaftsgeschichte und -philosophie .;;
60;(s102282_VROOT(SIMPX(SIMPX-KONJ(VF-1s(NX-ON-ns*1(PPER-ns*1 Ich)))(LK-VVFIN-1sis(VVFIN-HD-1sis(VVFIN-1sis binde)))(MF(NX-OA-asn3(PPER-asn3 es)))(VC(PTKVZ um)))($, ,)(SIMPX-KONJ(VF-3s(NX-ON-nsm(ART-nsm der)(NN-nsm Spiegel)))(LK-VVFIN-3sis(VVFIN-HD-3sis(VVFIN-3sis spottet)))))($. :));1;0;0;0;0;0;1;-;Satz Koord;Ich binde es um , der Spiegel spottet :;Ich binde es um , der Spiegel spottet :;Ich binde es um , der Spiegel spottet :;;
61;(s102563_VROOT(SIMPX(VF-1s(NX-ON-ns*1(PPER-ns*1 Ich)))(LK-VMFIN-1sis(VMFIN-HD-1sis(VMFIN-1sis kann)))(MF(NX-OA-apf(NN-apf Villen)))(VC-VVINF(VVINF-OV(VVINF bauen)))($D -)(NF(NX-OAK(KON oder)(NX-KONJ(NX-HD-apn(NN-apn Häuser))(PX(APPR-a für)(NX-HD-ap*(NN-ap* Obdachlose)))))))($. .));1;0;0;1;0;0;0;g;LDG;Ich kann Villen bauen - oder Häuser für Obdachlose .;Ich kann Villen bauen - oder ich_f kann_f Häuser für Obdachlose bauen_g .;Ich kann Villen bauen - oder ich_g kann_g Häuser für Obdachlose bauen_g .;;
62;(s103073_VROOT(SIMPX(SIMPX-KONJ(VF-3s(NX-ON-nsm(NN-nsm Fußball)))(LK-VAFIN-3sis(VAFIN-HD-3sis(VAFIN-3sis ist)))(MF(NX-PRED-nsm(NE-nsm Gott))))($, ,)(KON und)(SIMPX-KONJ(VF-3s(NX-ON-nsm(NE-nsm Gott)))(LK-VAFIN-3sis(VAFIN-HD-3sis(VAFIN-3sis ist)))(MF(ADJX(ADJD allwissend)))))($. .));1;0;0;0;0;0;1;-;Satz Koord;Fußball ist Gott , und Gott ist allwissend .;Fußball ist Gott , und Gott ist allwissend .;Fußball ist Gott , und Gott ist allwissend .;;
63;(s100518_VROOT(SIMPX(VF(PX(PROP Dazu)))(LK-VVFIN-3sis(VVFIN-HD-3sis(VVFIN-3sis gibts)))(MF(NX-OA(NX-HD-asm(ADJX-asm(ADVX(ADV noch))(ADJA-asm weiteren))(NN-asm Trillefizz))(NX(KOKOM wie)(NX-HD(NX-KONJ-asn(NN-asn Torwandschießen))(KON und)(NX-KONJ-asn(NN-asn Toto-Tippen)))))))($. .));1;0;0;0;0;1;0;k;NP Koord Komparativ;Dazu gibts noch weiteren Trillefizz wie Torwandschießen und Toto-Tippen .;Dazu gibts noch weiteren Trillefizz wie Torwandschießen und Toto-Tippen .;Dazu gibts noch weiteren Trillefizz wie Torwandschießen und Toto-Tippen .;;
64;(s99175_VROOT(SIMPX(VF-3s(NX-ON(NX-HD-nsf(ART-nsf Die)(ADJX-nsf(ADJA-nsf bevorzugte))(NN-nsf Fortbewegungsform))(PX(APPR-a per)(NX-HD(NX-KONJ-asn(NN-asn Fahrrad))(KON oder)(NX-KONJ-asn(NN-asn Moped))))))(LK-VAFIN-3sis(VAFIN-HD-3sis(VAFIN-3sis ist)))(MF(ADVX(ADV paarweise))))($. .));1;0;0;0;0;1;0;k;NP Koord PP;Die bevorzugte Fortbewegungsform per Fahrrad oder Moped ist paarweise .;Die bevorzugte Fortbewegungsform per Fahrrad oder Moped ist paarweise .;Die bevorzugte Fortbewegungsform per Fahrrad oder Moped ist paarweise .;;
65;(s102505_VROOT(SIMPX(VF-3p(NX-ON-np*3(PPER-np*3 Sie)))(LK-VVFIN-3pis(VVFIN-HD-3pis(VVFIN-3pis reden)))(MF(PX(APPR-d von)(NX-HD(NX-KONJ-dsm(NE-dsm Jesus))(KON und)(NX-KONJ(NX-HD-dsf(PPOSAT-dsf seiner)(NN-dsf Wahrheit))(PX(APPR-d in)(NX-HD-dsf(ART-dsf der)(NN-dsf Politik))))))))($. .));1;0;0;0;0;1;0;k;NP Koord PP;Sie reden von Jesus und seiner Wahrheit in der Politik .;Sie reden von Jesus und seiner Wahrheit in der Politik .;Sie reden von Jesus und seiner Wahrheit in der Politik .;;
66;"(s99517_VROOT($LPar "")(SIMPX(VF-3s(NX-ON-nsn(PDS-nsn Das)))(LK-VAFIN-3sis(VAFIN-HD-3sis(VAFIN-3sis ist)))(MF(NX-PRED(NX-KONJ-nsn(PIAT-nsn kein)(ADJX-nsn(ADJA-nsn ethnisches)))($, ,)(KON sondern)(NX-KONJ-nsn(ART-nsn ein)(ADJX-nsn(ADJA-nsn soziales))(NN-nsn Problem)))))($. .)($RPar ""))";1;1;1;1;0;0;0;NP Koord,  b+fg;fg bcr;""" Das ist kein ethnisches , sondern ein soziales Problem . """;""" Das ist kein ethnisches , sondern ein soziales Problem . """;""" Das ist kein ethnisches Problem_b , sondern das_fg ist_fg ein soziales Problem . """;""" Das ist kein ethnisches , sondern ein soziales Problem . """;
67;(s102286_VROOT(SIMPX(SIMPX-KONJ(VF-1s(NX-ON-ns*1(PPER-ns*1 Ich)))(LK-VAFIN-1sis(VAFIN-HD-1sis(VAFIN-1sis bin)))(MF(ADVX(ADV noch))(ADJX(ADVX(ADV sehr))(ADJD jung))))($, ,)(SIMPX-KONJ(VF-3s(NX-ON-nsm(PPOSAT-nsm mein)(NN-nsm Teint)))(MF(ADJX(ADJX(ADJD strahlend))(ADJD frisch)))))($. .));1;0;0;1;0;0;0;g;g;Ich bin noch sehr jung , mein Teint strahlend frisch .;Ich bin noch sehr jung , mein Teint bin_g strahlend frisch .;Ich bin noch sehr jung , mein Teint ist_g strahlend frisch .;;
68;(s103607_VROOT(SIMPX(VF-3s(NX-ON-nsn(PDS-nsn Das)))(LK-VAFIN-3sis(VAFIN-HD-3sis(VAFIN-3sis ist)))(MF(ADJX(ADJD gleichbedeutend))(PX(APPR-d mit)(NX-HD(NX-KONJ-dsf(ADJX-dsf(ADJA-dsf hoher))(NN-dsf Arbeitslosigkeit))(KON und)(NX-KONJ-dpm(PIDAT-dpm vielen)(NN-dpm Einwanderern))))))($. .));1;0;0;0;0;1;0;k;NP Koord PP;Das ist gleichbedeutend mit hoher Arbeitslosigkeit und vielen Einwanderern .;Das ist gleichbedeutend mit hoher Arbeitslosigkeit und vielen Einwanderern .;Das ist gleichbedeutend mit hoher Arbeitslosigkeit und vielen Einwanderern .;;
69;(s100182_VROOT(SIMPX(VF-3s(NX-ON-nsn(ART-nsn Das)(ADJX-nsn(ADJA-nsn fittere))(NN-nsn Team)))(LK-VVFIN-3sis(VVFIN-HD-3sis(VVFIN-3sis gewinnt)))(MF(ADVX(ADV auch))(NX-OA(NX-KONJ-apf(ART-apf die)(NN-apf Verlängerungen))(KON und)(NX-KONJ-apn(ART-apn die)(NN-apn Elfmeterschießen)))))($. .));1;0;0;0;0;1;0;k;NP Koord OA;Das fittere Team gewinnt auch die Verlängerungen und die Elfmeterschießen .;Das fittere Team gewinnt auch die Verlängerungen und die Elfmeterschießen .;Das fittere Team gewinnt auch die Verlängerungen und die Elfmeterschießen .;Das fittere Team gewinnt auch die Verlängerungen und das_fg fittere_fg Team_fg gewinnt_fg auch_fg die Elfmeterschießen .;
70;(s103863_VROOT(SIMPXINT(LK-VMFIN-3sis(VMFIN-HD-3sis(VMFIN-3sis Kann)))(MF-3s(NX-ON-ns*(PIS-ns* man))(NX-OA(NX-KONJ-asm(NN-asm Döner))(KON und)(NX-KONJ-asm(NN-asm Kebap)))(PX(APPRART-dsn im)(NX-HD-dsn(NN-dsn Scrabble))))(VC-VVINF(VVINF-OV(VVINF gelten))(VVINF-HD(VVINF lassen))))($QM ?));1;0;0;0;0;1;0;k;NP Koord OA;Kann man Döner und Kebap im Scrabble gelten lassen ?;Kann man Döner und Kebap im Scrabble gelten lassen ?;Kann man Döner und Kebap im Scrabble gelten lassen ?;;
71;(s102873_VROOT(SIMPX(VF(PX(APPR-d Zwischen)(NX-HD(NX-KONJ-dsm(NN-dsm Sielwall))(KON und)(NX-KONJ-dsm(NN-dsm Ziegenmarkt)))))(LK-VAFIN-3pis(VAFIN-HD-3pis(VAFIN-3pis werden)))(MF-3p(NX-ON-npf(NN-npf Kameras))(ADVX(ADV inzwischen))(ADVX(ADV eher)))(VC-VVPP(VVPP-OV(VVPP ignoriert))))($. .));1;0;0;0;0;1;0;k;NP Koord PP;Zwischen Sielwall und Ziegenmarkt werden Kameras inzwischen eher ignoriert .;Zwischen Sielwall und Ziegenmarkt werden Kameras inzwischen eher ignoriert .;Zwischen Sielwall und Ziegenmarkt werden Kameras inzwischen eher ignoriert .;;
72;(s103871_VROOT(SIMPXINT(VF(ADJX(PWAV Wie)))(LK-VVFIN-3sis(VVFIN-HD-3sis(VVFIN-3sis heißt)))(MF-3s(NX-ON(NX-HD-nsn(ART-nsn das)(NN-nsn Ding))(PX(APPR-d mit)(NX-HD(NX-KONJ-dsm(NN-dsm Holzgriff))(KON und)(NX-KONJ-dsm(ART-dsm dem)(ADJX-dsm(ADJA-dsm roten))(NN-dsm Gummistopfen)))))))($QM ?));1;0;0;0;0;1;0;k;NP Koord PP;Wie heißt das Ding mit Holzgriff und dem roten Gummistopfen ?;Wie heißt das Ding mit Holzgriff und dem roten Gummistopfen ?;Wie heißt das Ding mit Holzgriff und dem roten Gummistopfen ?;;
73;(s101902_VROOT(SIMPXINT(LK-VMFIN-3sis(VMFIN-HD-3sis(VMFIN-3sis Kann)))(MF-3s(NX-ON-ns*(PIS-ns* man))(NX-OA(NX-KONJ-asm(NN-asm Döner))(KON und)(NX-KONJ-asm(NN-asm Kebab)))(PX(APPRART-dsn beim)(NX-HD-dsn(NN-dsn Scrabble))))(VC-VVINF(VVINF-OV(VVINF gelten))(VVINF-HD(VVINF lassen))))($QM ?));1;0;0;0;0;1;0;k;NP Koord OA;Kann man Döner und Kebab beim Scrabble gelten lassen ?;Kann man Döner und Kebab beim Scrabble gelten lassen ?;Kann man Döner und Kebab beim Scrabble gelten lassen ?;;
74;(s103740_VROOT(SIMPX(VF(PX(APPR-d Bei)(NX-HD(NX-KONJ-dsf(NE-dsf Andrea))(KON und)(NX-KONJ-dsm(NE-dsm Hakim)))))(LK-VAFIN-3sis(VAFIN-HD-3sis(VAFIN-3sis hat)))(MF-3s(NX-ON-nsn(PDS-nsn das))(ADVX(ADV ja))(ADVX(ADVX(ADV überhaupt))(PTKNEG nicht)))(VC-VVPP(VVPP-OV(VVPP hingehauen))))($D ...));1;0;0;0;0;1;0;k;NP Koord PP;Bei Andrea und Hakim hat das ja überhaupt nicht hingehauen ...;Bei Andrea und Hakim hat das ja überhaupt nicht hingehauen ...;Bei Andrea und Hakim hat das ja überhaupt nicht hingehauen ...;;
75;(s101876_VROOT(SIMPX(VF(PX(APPR-d In)(NX-HD-dsf(ART-dsf der)(NN-dsf Bundesliga))))(LK-VVFIN-3sis(VVFIN-HD-3sis(VVFIN-3sis kennt)))(MF-3s(NX-ON-ns*(PIS-ns* man))(ADVX(ADV auch))(NX-OA(ART-asn das)(NX-HD(NX-KONJ-asn(NN-asn Reck-Fieber))(KON oder)(NX-KONJ-asn(NN-asn Golz-Syndrom))))))($. .));1;0;0;0;0;1;0;k;NP Koord OA;In der Bundesliga kennt man auch das Reck-Fieber oder Golz-Syndrom .;In der Bundesliga kennt man auch das Reck-Fieber oder Golz-Syndrom .;In der Bundesliga kennt man auch das Reck-Fieber oder Golz-Syndrom .;In der Bundesliga kennt man auch das Reck-Fieber oder In_fg der_fg Bundesliga_fg kennt_fg man_fg auch_fg Golz-Syndrom .;
76;(s101474_VROOT(SIMPX(VF(PX(APPR-a Für)(NX-HD-asm3(PPER-asm3 ihn))))(LK-VVFIN-3sis(VVFIN-HD-3sis(VVFIN-3sis gibt)))(MF-3s(NX-ON-nsn3(PPER-nsn3 es))(ADVX(ADV nur))(NX-OA(NX-KONJ-asf(NN-asf Abhängigkeit))($, ,)(NX-KONJ-asn(NN-asn Leiden))(KON und)(NX-KONJ-asf(NN-asf Gefangenschaft)))))($. .));1;0;0;0;0;1;0;k;NP Koord OA;Für ihn gibt es nur Abhängigkeit , Leiden und Gefangenschaft .;Für ihn gibt es nur Abhängigkeit , Leiden und Gefangenschaft .;Für ihn gibt es nur Abhängigkeit , Leiden und Gefangenschaft .;Für ihn gibt es nur Abhängigkeit , für_fg ihn_fg gibt_fg es_fg nur_fg Leiden und für_fg ihn_fg gibt_fg es_fg nur_fg Gefangenschaft .;
77;(s102124_VROOT(SIMPXINT(LK-VVFIN-3sis(VVFIN-HD-3sis(VVFIN-3sis Steckt)))(MF-3s(PX(APPR-d hinter)(NX-HD(NX-HD-dsm(ART-dsm dem)(NN-dsm Wechsel))(NX-gsf(ART-gsf der)(NN-gsf Fakultät))))(NX-ON(NX-KONJ-nsm(ART-nsm ein)(NN-nsm Mentor))(KON oder)(NX-KONJ-nsf(ART-nsf eine)(NN-nsf Gruppe)))))($QM ?));1;0;0;0;0;1;0;k;NP Koord SB;Steckt hinter dem Wechsel der Fakultät ein Mentor oder eine Gruppe ?;Steckt hinter dem Wechsel der Fakultät ein Mentor oder eine Gruppe ?;Steckt hinter dem Wechsel der Fakultät ein Mentor oder eine Gruppe ?;Steckt hinter dem Wechsel der Fakultät ein Mentor oder steckt_fg hinter_fg dem_fg Wechsel_fg der_fg Fakultät_fg eine Gruppe ?;
78;(s103523_VROOT(SIMPX(VF-3s(NX-ON-nsf(ART-nsf Die)(NN-nsf Gemeinde)))(LK-VAFIN-3sis(VAFIN-HD-3sis(VAFIN-3sis hat)))(MF(NX-OA(NX-KONJ-asm(NN-asm Kaffee))(KON und)(NX-KONJ-asm(NN-asm Kuchen)))(PX(APPR-a für)(NX-HD-apm(ADJX(CARD 400))(NN-apm Menschen))))(VC-VVPP(VVPP-OV(VVPP aufgeboten))))($. .));1;0;0;0;0;1;0;k;NP Koord OA;Die Gemeinde hat Kaffee und Kuchen für 400 Menschen aufgeboten .;Die Gemeinde hat Kaffee und Kuchen für 400 Menschen aufgeboten .;Die Gemeinde hat Kaffee und Kuchen für 400 Menschen aufgeboten .;Die Gemeinde hat Kaffee für_b 400_b Menschen_b aufgeboten_b und die_fg Gemeinde_fg hat_fg Kuchen für 400 Menschen aufgeboten .;
79;(s100152_VROOT(SIMPX(LK-VAFIN-3sit(VAFIN-HD-3sit(VAFIN-3sit War)))(MF-3s(PX(APPR-d in)(NX-HD-dsn(NE-dsn Udine)))(NX-ON-nsn(PIS-nsn alles))(PX(APPR-a auf)(NX-HD(NX-KONJ-asm3(PPER-asm3 ihn))(KON und)(NX-KONJ-apn(PPOSAT-apn seine)(NN-apn Bedürfnisse)))))(VC-VVPP(VVPP-OV(VVPP abgestimmt))))($. .));1;0;0;0;0;1;0;k;NP Koord PP;War in Udine alles auf ihn und seine Bedürfnisse abgestimmt .;War in Udine alles auf ihn und seine Bedürfnisse abgestimmt .;War in Udine alles auf ihn und seine Bedürfnisse abgestimmt .;;
80;(s101715_VROOT(SIMPX(VF-3s(NX-ON-nsn(ART-nsn Das)(NN-nsn Zentrum)))(LK-VVFIN-3sis(VVFIN-HD-3sis(VVFIN-3sis gibt)))(MF(NX-OA(NX-HD-asf(ART-asf die)(NN-asf Rangordnung))(NX(NX-KONJ-gpm(ART-gpm der)(NN-gpm Künstler))(KON und)(NX-KONJ-gpn(ART-gpn der)(NN-gpn Repertoires)))))(VC(PTKVZ vor)))($. .));1;0;0;0;0;1;0;k;NP Koord GA;Das Zentrum gibt die Rangordnung der Künstler und der Repertoires vor .;Das Zentrum gibt die Rangordnung der Künstler und der Repertoires vor .;Das Zentrum gibt die Rangordnung der Künstler und der Repertoires vor .;;
